time,id,x,y
189,28,31.0,5.0
189,29,28.70999999999999,5.0
189,30,34.92555785314984,3.4925557853149862
189,31,19.6,5.0
189,32,5.499999999999999,5.0
189,33,22.985111570629968,2.2985111570629972
190,17,94.44720729174985,5.0
190,18,91.0,5.0
190,19,72.0,5.0
190,20,75.44720729174985,5.0
190,21,70.0,5.0
190,22,41.34354773000432,4.134354773000435
190,23,60.0,5.0
190,24,53.20000000000001,5.0
190,25,47.000000000000014,5.0
190,26,38.5076917379058,3.850769173790583
190,27,37.00000000000001,5.0
190,28,32.0,5.0
190,29,30.15999999999999,5.0
190,30,35.522580167275834,3.5522580167275857
190,31,20.6,5.0
190,32,6.049999999999999,5.0
190,33,23.58213388475596,2.3582133884755967
190,34,1.0,5.0
191,17,95.44720729174985,5.0
191,18,92.0,5.0
191,19,73.0,5.0
191,20,76.44720729174985,5.0
191,21,71.0,5.0
191,22,41.671910002773615,4.167191000277365
191,23,61.0,5.0
191,24,54.20000000000001,5.0
191,25,48.000000000000014,5.0
191,26,39.104714052031795,3.9104714052031824
191,27,38.00000000000001,5.0
191,28,33.0,5.0
191,29,30.15999999999999,5.0
191,30,36.11960248140183,3.611960248140185
191,31,21.6,5.0
191,32,6.599999999999999,5.0
191,33,24.179156198881955,2.417915619888196
191,34,2.0,5.0
192,17,96.44720729174985,5.0
192,18,93.0,5.0
192,19,74.0,5.0
192,20,77.44720729174985,5.0
192,21,72.0,5.0
192,22,42.00027227554291,4.200027227554294
192,23,62.0,5.0
192,24,55.20000000000001,5.0
192,25,49.000000000000014,5.0
192,26,39.104714052031795,3.9104714052031824
192,27,39.00000000000001,5.0
192,28,34.0,5.0
192,29,31.60999999999999,5.0
192,30,36.71662479552782,3.6716624795527846
192,31,22.6,5.0
192,32,7.149999999999999,5.0
192,33,24.77617851300795,2.4776178513007956
192,34,3.0,5.0
193,17,97.44720729174985,5.0
193,18,94.0,5.0
193,19,75.0,5.0
193,20,78.44720729174985,5.0
193,21,73.0,5.0
193,22,42.32863454831221,4.232863454831223
193,23,63.0,5.0
193,24,56.20000000000001,5.0
193,25,50.000000000000014,5.0
193,26,39.70173636615779,3.970173636615782
193,27,40.00000000000001,5.0
193,28,35.0,5.0
193,29,33.05999999999999,5.0
193,30,37.313647109653814,3.731364710965384
193,31,23.6,5.0
